,predict_price,real_price,predict_ratio,real_ratio
238,84.9465503168,143.069395546,0.00167003,0.0148372
239,84.9511916972,143.782833525,5.46388e-05,0.00498666
240,84.4368589694,143.868164666,-0.00605445,0.000593472
241,84.3003516615,138.193865647,-0.00161668,-0.039441
242,82.238056121,134.130305187,-0.0244637,-0.0294048
243,82.0068763876,137.235004371,-0.0028111,0.0231469
244,81.8577917536,137.23859043,-0.00181795,2.61308e-05
245,80.4653797704,134.300540542,-0.0170101,-0.0214083
246,80.8026752254,136.820661001,0.00419181,0.0187648
247,80.4798807731,136.83911213,-0.00399485,0.000134856
248,80.8426930593,138.937639973,0.00450811,0.0153357
249,81.1334976776,143.918266539,0.00359717,0.0358479
250,80.9761203887,144.709966047,-0.00193973,0.00550104
251,81.020026937,145.571952298,0.000542216,0.00595665
252,80.8258722729,144.087972585,-0.00239638,-0.0101941
253,81.4706281953,146.102928227,0.0079771,0.0139842
254,80.8879015144,145.657812861,-0.0071526,-0.00304659
255,80.7398696892,146.428252108,-0.00183009,0.00528938
256,80.6334157197,146.194201964,-0.00131848,-0.00159839
257,80.3498762077,142.274553549,-0.0035164,-0.0268112
258,80.6782024823,143.734574938,0.00408621,0.010262
259,80.8075004768,142.144721091,0.00160264,-0.011061
260,80.7712626182,138.820836576,-0.000448447,-0.0233838
261,80.4863880478,141.506820624,-0.00352693,0.0193486
262,80.2009596669,139.303195585,-0.00354629,-0.0155726
263,80.4210212732,140.272285445,0.00274388,0.0069567
264,80.5742342408,137.385123434,0.00190514,-0.0205826
265,80.6017144099,138.971920578,0.000341054,0.01155
266,80.4273749708,137.982543824,-0.00216297,-0.00711926
267,80.8486059465,140.730686389,0.00523741,0.0199166
268,79.9608148566,140.781488899,-0.0109809,0.000360991
269,79.3706518147,141.577466025,-0.00738065,0.00565399
270,79.3335757731,141.68657615,-0.000467125,0.000770674
271,78.5150633727,139.579740562,-0.0103174,-0.0148697
272,79.0946757457,139.101488307,0.00738218,-0.00342637
273,78.8043550085,136.947000816,-0.00367055,-0.0154886
274,78.6843668591,139.026300531,-0.00152261,0.0151832
275,78.7537189638,137.49501895,0.000881396,-0.0110143
276,78.7907514998,136.633562079,0.000470232,-0.00626537
277,78.6349689453,140.213183792,-0.00197717,0.0261987
278,78.4771476722,140.901442502,-0.00200701,0.00490866
279,78.9246240846,143.051208353,0.005702,0.0152572
280,79.0156403234,141.974493977,0.0011532,-0.00752678
281,79.2776282311,142.679888928,0.00331565,0.00496846
282,79.3332859429,140.731651068,0.000702061,-0.0136546
283,79.6628810734,142.860788467,0.00415456,0.0151291
284,79.1264797124,145.353202197,-0.00673339,0.0174465
285,78.8544682541,144.222534718,-0.00343768,-0.00777876
286,79.2263501534,144.169102431,0.00471605,-0.000370485
287,79.0320879509,144.79423798,-0.00245199,0.00433613
288,79.2016827185,145.574393724,0.0021459,0.00538803
289,78.5135325427,145.925349416,-0.00868858,0.00241083
290,78.1818961681,148.095137331,-0.00422394,0.0148692
291,78.3509628662,149.030040122,0.00216248,0.00631285
292,78.3062649342,149.155244829,-0.000570484,0.000840131
293,78.0981786442,151.547812357,-0.00265734,0.0160408
294,78.207632284,151.194585484,0.00140149,-0.00233079
295,78.408911674,150.766785648,0.00257365,-0.00282947
296,78.4876394212,152.911915178,0.00100407,0.0142281
297,78.236046958,153.559250111,-0.0032055,0.00423338
298,77.5298789044,152.625576804,-0.00902612,-0.00608022
299,77.8580472031,152.289409357,0.0042328,-0.00220256
300,77.4188497869,150.054833209,-0.005641,-0.0146732
301,77.5788278021,150.374829237,0.0020664,0.00213253
302,77.5732254663,150.669552107,-7.22148e-05,0.00195992
303,78.0116851736,151.694772376,0.0056522,0.00680443
304,78.1354780734,151.409834339,0.00158685,-0.00187836
305,78.4764338424,152.165519561,0.00436365,0.00499099
306,78.2904014357,147.885215948,-0.00237055,-0.0281293
307,78.8227568869,148.373859245,0.00679975,0.00330421
308,78.4284722876,149.122628463,-0.00500217,0.0050465
309,78.6982434522,149.635059276,0.00343971,0.0034363
